Name,id,Yelp,Star,City,Chef
Alinea,alinea-chicago,https://www.yelp.com/biz/alinea-chicago,3,CH,
Grace,grace-chicago-3,https://www.yelp.com/biz/grace-chicago-3,3,CH,
42 Grams,42-grams-chicago,https://www.yelp.com/biz/42-grams-chicago,2,CH,
Acadia,acadia-chicago,https://www.yelp.com/biz/acadia-chicago,2,CH,
Sixteen,sixteen-chicago,https://www.yelp.com/biz/sixteen-chicago,2,CH,
Blackbird,blackbird-chicago,https://www.yelp.com/biz/blackbird-chicago,1,CH,
Boka,boka-chicago,https://www.yelp.com/biz/boka-chicago,1,CH,
Dusek’s (Board & Beer),duseks-board-and-beer-chicago-2,https://www.yelp.com/biz/duseks-board-and-beer-chicago-2,1,CH,
EL Ideas,el-ideas-chicago-2,https://www.yelp.com/biz/el-ideas-chicago-2,1,CH,
Elizabeth,elizabeth-restaurant-chicago,https://www.yelp.com/biz/elizabeth-restaurant-chicago,1,CH,
Everest,everest-chicago,https://www.yelp.com/biz/everest-chicago,1,CH,
Goosefoot,goosefoot-chicago,https://www.yelp.com/biz/goosefoot-chicago,1,CH,
Longman & Eagle,longman-and-eagle-chicago,https://www.yelp.com/biz/longman-and-eagle-chicago,1,CH,
Moto,moto-chicago,https://www.yelp.com/biz/moto-chicago,1,CH,
NAHA,naha-chicago,https://www.yelp.com/biz/naha-chicago,1,CH,
North Pond,north-pond-chicago,https://www.yelp.com/biz/north-pond-chicago,1,CH,
Parachute,parachute-chicago,https://www.yelp.com/biz/parachute-chicago,1,CH,
Schwa,schwa-chicago,https://www.yelp.com/biz/schwa-chicago,1,CH,
Sepia,sepia-chicago,https://www.yelp.com/biz/sepia-chicago,1,CH,
Spiaggia,spiaggia-chicago-4,https://www.yelp.com/biz/spiaggia-chicago-4,1,CH,
Topolobampo,topolobampo-chicago,https://www.yelp.com/biz/topolobampo-chicago,1,CH,
Tru,tru-chicago,https://www.yelp.com/biz/tru-chicago,1,CH,
Chef's Table at Brooklyn Fare,chefs-table-at-brooklyn-fare-brooklyn-3,https://www.yelp.com/biz/chefs-table-at-brooklyn-fare-brooklyn-3,3,NY,
Eleven Madison Park,eleven-madison-park-new-york,https://www.yelp.com/biz/eleven-madison-park-new-york,3,NY,
Jean-Georges,jean-georges-new-york,https://www.yelp.com/biz/jean-georges-new-york,3,NY,
Le Bernardin,le-bernardin-new-york,https://www.yelp.com/biz/le-bernardin-new-york,3,NY,
Masa,masa-new-york,https://www.yelp.com/biz/masa-new-york,3,NY,
Per Se,per-se-new-york,https://www.yelp.com/biz/per-se-new-york,3,NY,
Aquavit,aquavit-new-york,https://www.yelp.com/biz/aquavit-new-york,2,NY,
Atera,atera-new-york,https://www.yelp.com/biz/atera-new-york,2,NY,
Blanca,blanca-brooklyn,https://www.yelp.com/biz/blanca-brooklyn,2,NY,
Daniel,daniel-new-york-4,https://www.yelp.com/biz/daniel-new-york-4,2,NY,
Ichimura,ichimura-at-brushstroke-new-york,https://www.yelp.com/biz/ichimura-at-brushstroke-new-york,2,NY,
Jungsik,jungsik-new-york,https://www.yelp.com/biz/jungsik-new-york,2,NY,
Marea,marea-new-york,https://www.yelp.com/biz/marea-new-york,2,NY,
Momofuku Ko,momofuku-ko-new-york-3,https://www.yelp.com/biz/momofuku-ko-new-york-3,2,NY,
Soto,soto-new-york,https://www.yelp.com/biz/soto-new-york,2,NY,
The Modern,the-modern-new-york-3,https://www.yelp.com/biz/the-modern-new-york-3,2,NY,
Ai Fiori,ai-fiori-new-york,https://www.yelp.com/biz/ai-fiori-new-york,1,NY,
Aldea,aldea-new-york,https://www.yelp.com/biz/aldea-new-york,1,NY,
Andanada,andanada-new-york-3,https://www.yelp.com/biz/andanada-new-york-3,1,NY,
Aureole,aureole-new-york,https://www.yelp.com/biz/aureole-new-york,1,NY,
Babbo,babbo-new-york,https://www.yelp.com/biz/babbo-new-york,1,NY,
Bâtard,b%C3%A2tard-new-york,https://www.yelp.com/biz/b%C3%A2tard-new-york,1,NY,
Betony,betony-new-york,https://www.yelp.com/biz/betony-new-york,1,NY,
Blue Hill,blue-hill-new-york,https://www.yelp.com/biz/blue-hill-new-york,1,NY,
Bouley,bouley-new-york-2,https://www.yelp.com/biz/bouley-new-york-2,1,NY,
Brushstroke,brushstroke-new-york,https://www.yelp.com/biz/brushstroke-new-york,1,NY,
Café Boulud,cafe-boulud-new-york-4,https://www.yelp.com/biz/cafe-boulud-new-york-4,1,NY,
Café China,caf%C3%A9-china-new-york-2,https://www.yelp.com/biz/caf%C3%A9-china-new-york-2,1,NY,
Cagen,cagen-japan-restaurant-new-york-2,https://www.yelp.com/biz/cagen-japan-restaurant-new-york-2,1,NY,
Carbone,carbone-new-york,https://www.yelp.com/biz/carbone-new-york,1,NY,
Casa Enríque,casa-enrique-long-island-city,https://www.yelp.com/biz/casa-enrique-long-island-city,1,NY,
Casa Mono,casa-mono-new-york,https://www.yelp.com/biz/casa-mono-new-york,1,NY,
Caviar Russe,caviar-russe-new-york,https://www.yelp.com/biz/caviar-russe-new-york,1,NY,
Del Posto,del-posto-new-york,https://www.yelp.com/biz/del-posto-new-york,1,NY,
Delaware and Hudson,delaware-and-hudson-brooklyn,https://www.yelp.com/biz/delaware-and-hudson-brooklyn,1,NY,
Dovetail,dovetail-new-york,https://www.yelp.com/biz/dovetail-new-york,1,NY,
Gabriel Kreuther,gabriel-kreuther-new-york,https://www.yelp.com/biz/gabriel-kreuther-new-york,1,NY,
Gotham Bar and Grill,gotham-bar-and-grill-new-york,https://www.yelp.com/biz/gotham-bar-and-grill-new-york,1,NY,
Gramercy Tavern,gramercy-tavern-new-york,https://www.yelp.com/biz/gramercy-tavern-new-york,1,NY,
Hirohisa,hirohisa-new-york,https://www.yelp.com/biz/hirohisa-new-york,1,NY,
Jewel Bako,jewel-bako-new-york,https://www.yelp.com/biz/jewel-bako-new-york,1,NY,
Juni,juni-new-york,https://www.yelp.com/biz/juni-new-york,1,NY,
Junoon,junoon-new-york,https://www.yelp.com/biz/junoon-new-york,1,NY,
Kajitsu,kajitsu-new-york-3,https://www.yelp.com/biz/kajitsu-new-york-3,1,NY,
Kyo Ya,kyo-ya-new-york,https://www.yelp.com/biz/kyo-ya-new-york,1,NY,
La Vara,la-vara-brooklyn,https://www.yelp.com/biz/la-vara-brooklyn,1,NY,
Luksus at Tørst,luksus-brooklyn,https://www.yelp.com/biz/luksus-brooklyn,1,NY,
M. Wells Steakhouse,m-wells-steakhouse-long-island-city,https://www.yelp.com/biz/m-wells-steakhouse-long-island-city,1,NY,
Meadowsweet,meadowsweet-williamsburg,https://www.yelp.com/biz/meadowsweet-williamsburg,1,NY,
Minetta Tavern,minetta-tavern-new-york,https://www.yelp.com/biz/minetta-tavern-new-york,1,NY,
NoMad,the-nomad-restaurant-new-york,https://www.yelp.com/biz/the-nomad-restaurant-new-york,1,NY,
Peter Luger,peter-luger-steak-house-brooklyn,https://www.yelp.com/biz/peter-luger-steak-house-brooklyn,1,NY,
Picholine,picholine-new-york,https://www.yelp.com/biz/picholine-new-york,1,NY,
Piora,piora-new-york,https://www.yelp.com/biz/piora-new-york,1,NY,
Pok Pok Ny,pok-pok-ny-brooklyn-3,https://www.yelp.com/biz/pok-pok-ny-brooklyn-3,1,NY,
Public,public-new-york,https://www.yelp.com/biz/public-new-york,1,NY,
Rebelle,rebelle-new-york,https://www.yelp.com/biz/rebelle-new-york,1,NY,
Rosanjin,rosanjin-new-york,https://www.yelp.com/biz/rosanjin-new-york,1,NY,
Semilla,semilla-williamsburg-2,https://www.yelp.com/biz/semilla-williamsburg-2,1,NY,
Somtum Der,somtum-der-new-york,https://www.yelp.com/biz/somtum-der-new-york,1,NY,
Spotted Pig,the-spotted-pig-new-york,https://www.yelp.com/biz/the-spotted-pig-new-york,1,NY,
Sushi Azabu,sushi-azabu-new-york,https://www.yelp.com/biz/sushi-azabu-new-york,1,NY,
Sushi of Gari,sushi-of-gari-new-york,https://www.yelp.com/biz/sushi-of-gari-new-york,1,NY,
Sushi Yasuda,sushi-yasuda-new-york,https://www.yelp.com/biz/sushi-yasuda-new-york,1,NY,
Take Root,take-root-brooklyn-3,https://www.yelp.com/biz/take-root-brooklyn-3,1,NY,
Telepan,telepan-new-york,https://www.yelp.com/biz/telepan-new-york,1,NY,
Tempura Matsui,tempura-matsui-new-york,https://www.yelp.com/biz/tempura-matsui-new-york,1,NY,
The Breslin,the-breslin-bar-and-dining-room-new-york,https://www.yelp.com/biz/the-breslin-bar-and-dining-room-new-york,1,NY,
The Finch,the-finch-clinton-hill,https://www.yelp.com/biz/the-finch-clinton-hill,1,NY,
The Musket Room,the-musket-room-new-york,https://www.yelp.com/biz/the-musket-room-new-york,1,NY,
The River Café,the-river-caf%C3%A9-brooklyn-3,https://www.yelp.com/biz/the-river-caf%C3%A9-brooklyn-3,1,NY,
Tori Shin,torishin-new-york-3,https://www.yelp.com/biz/torishin-new-york-3,1,NY,
Tulsi,tulsi-new-york,https://www.yelp.com/biz/tulsi-new-york,1,NY,
Uncle Boons,uncle-boons-new-york-2,https://www.yelp.com/biz/uncle-boons-new-york-2,1,NY,
Wallsé,walls%C3%A9-new-york-2,https://www.yelp.com/biz/walls%C3%A9-new-york-2,1,NY,
ZZ’s Clam Bar,zzs-clam-bar-new-york,https://www.yelp.com/biz/zzs-clam-bar-new-york,1,NY,
Benu,benu-san-francisco-4,http://www.yelp.com/biz/benu-san-francisco-4,3,SF,
French Laundry,the-french-laundry-yountville-2,http://www.yelp.com/biz/the-french-laundry-yountville-2,3,SF,
Manresa,manresa-los-gatos-2,http://www.yelp.com/biz/manresa-los-gatos-2,3,SF,
Restaurant at Meadowood,the-restaurant-at-meadowood-st-helena,http://www.yelp.com/biz/the-restaurant-at-meadowood-st-helena,3,SF,
Saison,saison-san-francisco-2,http://www.yelp.com/biz/saison-san-francisco-2,3,SF,
Acquerello,acquerello-san-francisco,http://www.yelp.com/biz/acquerello-san-francisco,2,SF,
Atelier Crenn,atelier-crenn-san-francisco,http://www.yelp.com/biz/atelier-crenn-san-francisco,2,SF,
Baumé,baum%C3%A9-palo-alto-5,http://www.yelp.com/biz/baum%C3%A9-palo-alto-5,2,SF,
Campton Place,campton-place-restaurant-san-francisco,http://www.yelp.com/biz/campton-place-restaurant-san-francisco,2,SF,
Coi,coi-san-francisco,http://www.yelp.com/biz/coi-san-francisco,2,SF,
Commis,commis-oakland-2,http://www.yelp.com/biz/commis-oakland-2,2,SF,
Quince,quince-san-francisco,http://www.yelp.com/biz/quince-san-francisco,2,SF,
All Spice,all-spice-san-francisco,http://www.yelp.com/biz/all-spice-san-francisco,1,SF,
Al's Place,als-place-san-francisco,http://www.yelp.com/biz/als-place-san-francisco,1,SF,
Ame,ame-san-francisco,http://www.yelp.com/biz/ame-san-francisco,1,SF,
Aster,aster-san-francisco,http://www.yelp.com/biz/aster-san-francisco,1,SF,
Auberge du Soleil,auberge-du-soleil-restaurant-rutherford,https://www.yelp.com/biz/auberge-du-soleil-restaurant-rutherford,1,SF,
Aziza,aziza-san-francisco,http://www.yelp.com/biz/aziza-san-francisco,1,SF,
Bouchon,bouchon-yountville,http://www.yelp.com/biz/bouchon-yountville,1,SF,
Californios,californios-san-francisco,http://www.yelp.com/biz/californios-san-francisco,1,SF,
Chez TJ,chez-tj-mountain-view,http://www.yelp.com/biz/chez-tj-mountain-view,1,SF,
Commonwealth,commonwealth-san-francisco,http://www.yelp.com/biz/commonwealth-san-francisco,1,SF,
Farmhouse Inn & Restaurant,farmhouse-inn-restaurant-forestville-2,http://www.yelp.com/biz/farmhouse-inn-restaurant-forestville-2,1,SF,
Gary Danko,gary-danko-san-francisco,http://www.yelp.com/biz/gary-danko-san-francisco,1,SF,
Keiko à Nob Hill,keiko-%C3%A0-nob-hill-san-francisco-2,http://www.yelp.com/biz/keiko-%C3%A0-nob-hill-san-francisco-2,1,SF,
Kin Khao,kin-khao-san-francisco-2,http://www.yelp.com/biz/kin-khao-san-francisco-2,1,SF,
Kusakabe,kusakabe-san-francisco,http://www.yelp.com/biz/kusakabe-san-francisco,1,SF,
La Toque,la-toque-napa,http://www.yelp.com/biz/la-toque-napa,1,SF,
Lazy Bear,lazy-bear-san-francisco-5,http://www.yelp.com/biz/lazy-bear-san-francisco-5,1,SF,
Lord Stanley,lord-stanley-san-francisco,http://www.yelp.com/biz/lord-stanley-san-francisco,1,SF,
Luce,luce-san-francisco,http://www.yelp.com/biz/luce-san-francisco,1,SF,
Madrona Manor,madrona-manor-healdsburg-2,https://www.yelp.com/biz/madrona-manor-healdsburg-2,1,SF,
Michael Mina,michael-mina-san-francisco-2,http://www.yelp.com/biz/michael-mina-san-francisco-2,1,SF,
Mourad,mourad-restaurant-san-francisco,http://www.yelp.com/biz/mourad-restaurant-san-francisco,1,SF,
Nico,nico-san-francisco,http://www.yelp.com/biz/nico-san-francisco,1,SF,
Octavia,octavia-san-francisco,http://www.yelp.com/biz/octavia-san-francisco,1,SF,
Omakase,omakase-san-francisco,http://www.yelp.com/biz/omakase-san-francisco,1,SF,
Plumed,plumed-horse-saratoga,http://www.yelp.com/biz/plumed-horse-saratoga,1,SF,
Rasa,rasa-burlingame,http://www.yelp.com/biz/rasa-burlingame,1,SF,
Solbar,solbar-calistoga,http://www.yelp.com/biz/solbar-calistoga,1,SF,
Sons & Daughters,sons-and-daughters-san-francisco,http://www.yelp.com/biz/sons-and-daughters-san-francisco,1,SF,
SPQR,spqr-san-francisco,http://www.yelp.com/biz/spqr-san-francisco,1,SF,
Spruce,spruce-san-francisco,http://www.yelp.com/biz/spruce-san-francisco,1,SF,
State Bird Provisions,state-bird-provisions-san-francisco,http://www.yelp.com/biz/state-bird-provisions-san-francisco,1,SF,
Sushi Yoshizumi,sushi-yoshizumi-san-mateo,http://www.yelp.com/biz/sushi-yoshizumi-san-mateo,1,SF,
Terra,terra-saint-helena-2,https://www.yelp.com/biz/terra-saint-helena-2,1,SF,
Terrapin Creek,terrapin-creek-cafe-and-restaurant-bodega-bay,http://www.yelp.com/biz/terrapin-creek-cafe-and-restaurant-bodega-bay,1,SF,
Village Pub,the-village-pub-woodside,http://www.yelp.com/biz/the-village-pub-woodside,1,SF,
Wako,wako-japanese-restaurant-san-francisco,http://www.yelp.com/biz/wako-japanese-restaurant-san-francisco,1,SF,
Wakuriya,wakuriya-san-mateo,http://www.yelp.com/biz/wakuriya-san-mateo,1,SF,
